Country;Year;Sex;Data Source;Age-standardized death rates violence per 100000;Comments;Estimated road traffic death rate (per 100 000 population);Age-standardized death rates prematurity and low birth rate per 100000;
Gambia [Africa];2004;Both sexes;null;16.1;null;25.92675;24.9;
Jordan [Eastern Mediterranean];2004;Both sexes;null;7.4;null;22.75887;10.7;
Germany [Europe];2004;Female;null;0.3;null;3.99856;0.4;
Trinidad and Tobago [Americas];2004;Both sexes;null;12.9;null;17.90538;10.4;
Namibia [Africa];2004;Female;null;0.0;null;9.16138;0.2;
France [Europe];2002;null;Not applicable;0.65;null;;;
Tunisia [Eastern Mediterranean];2002;null;Not applicable;2.3;null;;;
Mexico [Americas];2004;Female;null;1.3;null;6.40305;4.5;
Maldives [South-East Asia];2004;Both sexes;null;2.3;null;1.60635;18.8;
Samoa [Western Pacific];2004;Female;null;0.0;null;8.98502;0.0;
Madagascar [Africa];2002;null;Not applicable;12.29;null;;;
Yemen [Eastern Mediterranean];2004;Female;null;0.1;null;15.4861;4.5;
Turkey [Europe];2004;Male;null;4.7;null;9.76347;12.3;
Russian Federation [Europe];2004;Both sexes;null;26.7;null;29.91241;3.9;
Ecuador [Americas];2004;Female;null;0.3;null;6.4284;0.6;
Greece [Europe];2004;Female;null;0.0;null;7.93366;0.1;
Malta [Europe];2004;Female;null;0.0;null;1.21708;0.0;
Eritrea [Africa];2004;Male;null;34.6;null;50.16723;13.3;
Belgium [Europe];2004;Both sexes;null;1.6;null;11.43117;1.2;
Myanmar [South-East Asia];2004;Male;null;28.0;null;28.24034;31.8;
Spain [Europe];2004;Male;null;1.7;null;18.20615;1.3;
North Macedonia [Europe];2004;Female;null;0.0;null;3.17786;0.0;
Mexico [Americas];2004;Both sexes;null;9.9;null;14.95384;9.0;
Bahrain [Eastern Mediterranean];2002;null;Not applicable;0.9;null;;;
Latvia [Europe];2004;Female;null;0.1;null;11.99932;0.0;
New Zealand [Western Pacific];2002;null;Not applicable;1.28;null;;;
Mauritania [Africa];2004;Male;null;28.0;null;30.98353;23.9;
Tunisia [Eastern Mediterranean];2004;Both sexes;null;1.7;null;23.42781;8.5;
South Africa [Africa];2002;null;Not applicable;45.61;null;;;
Cambodia [Western Pacific];2004;Male;null;39.2;null;25.87782;23.7;
Ireland [Europe];2004;Female;null;0.0;null;5.11176;0.0;
Haiti [Americas];2002;null;Not applicable;14.56;null;;;
Mali [Africa];2002;null;Not applicable;16.92;null;;;
Costa Rica [Americas];2004;Male;null;11.3;null;25.45813;4.0;
Democratic Republic of the Congo [Africa];2004;Male;null;22.8;null;46.9591;32.7;
Italy [Europe];2004;Both sexes;null;0.9;null;10.89245;1.4;
Peru [Americas];2004;Female;null;0.2;null;8.85896;1.0;
Belgium [Europe];2004;Male;null;1.8;null;18.04865;1.1;
Eswatini [Africa];2002;null;Not applicable;6.76;null;;;
Thailand [South-East Asia];2004;Both sexes;null;6.7;null;38.85907;7.4;
Chad [Africa];2002;null;Not applicable;15.0;null;;;
Argentina [Americas];2004;Both sexes;null;6.8;null;10.61001;8.0;
Iran (Islamic Republic of) [Eastern Mediterranean];2004;Female;null;0.4;null;18.70256;4.5;
Senegal [Africa];2004;Both sexes;null;17.2;null;24.89342;20.6;
Bulgaria [Europe];2004;Female;null;0.1;null;5.77858;0.1;
Mali [Africa];2004;Male;null;41.6;null;29.35104;34.6;
Peru [Americas];2004;Male;null;5.6;null;21.89157;7.4;
Maldives [South-East Asia];2004;Male;null;1.9;null;2.20799;19.2;
Kyrgyzstan [Europe];2002;null;Not applicable;10.34;null;;;
Tonga [Western Pacific];2004;Male;null;1.1;null;19.81858;1.8;
Trinidad and Tobago [Americas];2002;null;Not applicable;8.64;null;;;
Russian Federation [Europe];2004;Male;null;43.3;null;46.88876;4.4;
Vanuatu [Western Pacific];2004;Female;null;0.0;null;6.96786;0.0;
Indonesia [South-East Asia];2004;Male;null;15.6;null;21.82144;12.0;
Austria [Europe];2004;Female;null;0.0;null;5.30284;0.1;
Mali [Africa];2004;Female;null;0.4;null;19.63004;3.3;
Zimbabwe [Africa];2004;Female;null;0.7;null;10.56729;2.0;
Canada [Americas];2002;null;Not applicable;1.45;null;;;
Jamaica [Americas];2002;null;Not applicable;0.54;null;;;
Slovenia [Europe];2004;Male;null;2.7;null;23.30099;2.6;
Malaysia [Western Pacific];2004;Male;null;17.9;null;41.03165;5.0;
Ghana [Africa];2004;Male;null;20.1;null;35.94458;23.3;
Togo [Africa];2002;null;Not applicable;12.79;null;;;
Brunei Darussalam [Western Pacific];2004;Female;null;0.0;null;6.52581;0.0;
Nepal [South-East Asia];2002;null;Not applicable;18.82;null;;;
Austria [Europe];2004;Both sexes;null;0.7;null;11.01401;4.0;
Germany [Europe];2004;Male;null;0.7;null;11.12507;2.7;
Denmark [Europe];2004;Male;null;1.2;null;10.11787;2.9;
Israel [Europe];2004;Female;null;0.1;null;3.41934;0.1;
Switzerland [Europe];2002;null;Not applicable;0.91;null;;;
Lao People's Democratic Republic [Western Pacific];2002;null;Not applicable;7.69;null;;;
Nigeria [Africa];2004;Female;null;5.3;null;17.45819;33.9;
Luxembourg [Europe];2002;null;Not applicable;1.84;null;;;
Uganda [Africa];2004;Male;null;55.6;null;49.76067;17.6;
Bolivia (Plurinational State of) [Americas];2004;Both sexes;null;4.4;null;15.13941;15.0;
Democratic People's Republic of Korea [South-East Asia];2002;null;Not applicable;19.38;null;;;
Lesotho [Africa];2002;null;Not applicable;8.59;null;;;
Slovenia [Europe];2004;Female;null;0.0;null;5.83876;0.0;
Japan [Western Pacific];2002;null;Not applicable;0.58;null;;;
Angola [Africa];2004;Male;null;84.5;null;29.83948;35.9;
Paraguay [Americas];2004;Male;null;35.9;null;18.94195;9.2;
Ireland [Europe];2004;Male;null;1.1;null;14.07599;2.0;
France [Europe];2004;Both sexes;null;0.8;null;8.91134;0.8;
Viet Nam [Western Pacific];2002;null;Not applicable;4.88;null;;;
Togo [Africa];2004;Both sexes;null;16.7;null;31.04213;24.9;
Viet Nam [Western Pacific];2004;Female;null;0.7;null;10.3208;3.9;
Timor-Leste [South-East Asia];2004;Female;null;0.0;null;10.73631;0.1;
Haiti [Americas];2004;Female;null;0.1;null;12.43221;1.1;
Cyprus [Europe];2002;null;Not applicable;0.22;null;;;
Bhutan [South-East Asia];2002;null;Not applicable;6.31;null;;;
Mauritania [Africa];2004;Both sexes;null;17.6;null;26.67351;21.7;
Jamaica [Americas];2004;Both sexes;null;37.7;null;12.3907;8.0;
Micronesia (Federated States of) [Western Pacific];2004;Male;null;1.5;null;6.19781;;
Samoa [Western Pacific];2004;Male;null;1.9;null;20.80581;1.9;
Antigua and Barbuda [Americas];2002;null;Not applicable;10.83;null;;;
Chile [Americas];2004;Female;null;0.1;null;6.44304;0.1;
C\u00f4te d'Ivoire [Africa];2002;null;Not applicable;33.18;null;;;
Armenia [Europe];2002;null;Not applicable;3.56;null;;;
United Republic of Tanzania [Africa];2004;Female;null;1.6;null;17.26458;6.7;
Tuvalu [Western Pacific];2002;null;Not applicable;2.15;null;;;
Estonia [Europe];2004;Both sexes;null;7.7;null;13.86067;2.3;
Iraq [Eastern Mediterranean];2002;null;Not applicable;4.06;null;;;
Liberia [Africa];2002;null;Not applicable;41.55;null;;;
Grenada [Americas];2004;Male;null;2.7;null;3.36478;5.0;
New Zealand [Western Pacific];2004;Female;null;0.0;null;7.0789;0.0;
Azerbaijan [Europe];2004;Male;null;4.8;null;17.10014;25.5;
Italy [Europe];2004;Male;null;1.3;null;17.84777;1.4;
Venezuela (Bolivarian Republic of) [Americas];2004;Both sexes;null;38.2;null;28.18831;7.7;
Palau [Western Pacific];2002;null;Not applicable;0.96;null;;;
Spain [Europe];2002;null;Not applicable;0.91;null;;;
Guatemala [Americas];2004;Male;null;96.4;null;8.23115;10.0;
San Marino [Europe];2004;Male;null;0.0;null;;;
Morocco [Eastern Mediterranean];2004;Male;null;2.1;null;40.34035;13.6;
Djibouti [Eastern Mediterranean];2004;Female;null;0.0;null;16.38544;0.1;
Bulgaria [Europe];2004;Both sexes;null;2.7;null;12.5119;4.0;
Saint Kitts and Nevis [Americas];2004;Both sexes;null;11.3;null;;4.0;
Saudi Arabia [Eastern Mediterranean];2004;Male;null;4.0;null;32.06968;8.1;
Bahamas [Americas];2004;Male;null;36.4;null;25.32702;2.0;
Bangladesh [South-East Asia];2004;Both sexes;null;9.7;null;16.35782;20.9;
Sierra Leone [Africa];2004;Both sexes;null;39.8;null;31.24773;34.7;
Niger [Africa];2004;Female;null;0.4;null;20.10356;2.4;
Iraq [Eastern Mediterranean];2004;Male;null;15.2;null;28.92388;38.0;
Peru [Americas];2004;Both sexes;null;3.4;null;15.35609;6.7;
Nepal [South-East Asia];2004;Female;null;0.7;null;10.10227;2.9;
Bahamas [Americas];2004;Both sexes;null;22.4;null;15.98431;1.9;
Bangladesh [South-East Asia];2002;null;Not applicable;9.86;null;;;
Bahamas [Americas];2002;null;Not applicable;20.97;null;;;
Honduras [Americas];2002;null;Not applicable;16.23;null;;;
Indonesia [South-East Asia];2004;Both sexes;null;9.7;null;14.38919;11.0;
Bosnia and Herzegovina [Europe];2002;null;Not applicable;1.89;null;;;
Switzerland [Europe];2004;Both sexes;null;0.9;null;7.18214;1.5;
Madagascar [Africa];2004;Both sexes;null;14.6;null;26.40567;26.1;
Rwanda [Africa];2004;Both sexes;null;34.4;null;36.72593;24.0;
Sudan [Eastern Mediterranean];2004;Female;null;1.9;null;15.98428;7.8;
El Salvador [Americas];2004;Female;null;0.3;null;13.90174;0.3;
China [Western Pacific];2004;Both sexes;null;2.1;null;20.54032;11.9;
Germany [Europe];2002;null;Not applicable;0.71;null;;;
Venezuela (Bolivarian Republic of) [Americas];2004;Male;null;71.3;null;45.34339;8.3;
C\u00f4te d'Ivoire [Africa];2004;Male;null;103.4;null;38.13876;50.1;
Uganda [Africa];2004;Female;null;1.3;null;15.60047;4.4;
Central African Republic [Africa];2004;Both sexes;null;36.0;null;33.64879;24.4;
Algeria [Africa];2004;Male;null;13.8;null;30.74035;17.5;
Cabo Verde [Africa];2002;null;Not applicable;2.31;null;;;
Marshall Islands [Western Pacific];2004;Female;null;0.0;null;;0.0;
Estonia [Europe];2004;Male;null;13.6;null;22.36756;3.4;
United Kingdom of Great Britain and Northern Ireland [Europe];2004;Male;null;3.1;null;10.45136;4.0;
Mozambique [Africa];2004;Female;null;0.9;null;17.94327;3.9;
Cuba [Americas];2004;Male;null;8.8;null;17.96453;1.1;
Lesotho [Africa];2004;Both sexes;null;16.2;null;27.19549;14.4;
North Macedonia [Europe];2002;null;Not applicable;2.86;null;;;
United Arab Emirates [Eastern Mediterranean];2004;Female;null;0.0;null;10.18178;0.1;
Turkey [Europe];2004;Female;null;0.4;null;3.94842;4.0;
Djibouti [Eastern Mediterranean];2004;Male;null;7.1;null;38.82595;25.5;
Peru [Americas];2002;null;Not applicable;4.03;null;;;
Burkina Faso [Africa];2004;Both sexes;null;22.5;null;29.06241;16.2;
Ireland [Europe];2004;Both sexes;null;0.7;null;9.58569;1.9;
Croatia [Europe];2004;Female;null;0.0;null;5.57956;0.0;
Fiji [Western Pacific];2004;Female;null;0.0;null;7.24524;0.0;
Libya [Eastern Mediterranean];2002;null;Not applicable;2.77;null;;;
Iceland [Europe];2004;Male;null;1.2;null;11.60461;0.9;
Nicaragua [Americas];2004;Both sexes;null;17.6;null;15.86228;9.9;
Kyrgyzstan [Europe];2004;Both sexes;null;9.8;null;18.71405;21.5;
Slovakia [Europe];2004;Male;null;2.5;null;23.39766;4.7;
Albania [Europe];2004;Male;null;11.5;null;22.91743;5.4;
Kenya [Africa];2002;null;Not applicable;18.18;null;;;
Italy [Europe];2002;null;Not applicable;1.02;null;;;
Seychelles [Africa];2004;Female;null;0.0;null;3.6216;0.0;
Suriname [Americas];2004;Both sexes;null;12.9;null;29.37125;14.9;
Norway [Europe];2004;Male;null;1.1;null;9.12222;0.2;
Singapore [Western Pacific];2004;Female;null;0.0;null;2.61496;0.0;
Algeria [Africa];2002;null;Not applicable;13.1;null;;;
Georgia [Europe];2004;Male;null;6.2;null;25.11802;22.0;
Kuwait [Eastern Mediterranean];2004;Both sexes;null;1.2;null;25.44878;5.3;
Colombia [Americas];2004;Both sexes;null;81.7;null;17.47554;9.4;
Republic of Moldova [Europe];2004;Male;null;10.7;null;26.95964;2.8;
Zimbabwe [Africa];2002;null;Not applicable;13.59;null;;;
Vanuatu [Western Pacific];2002;null;Not applicable;1.09;null;;;
Viet Nam [Western Pacific];2004;Male;null;6.8;null;39.72448;9.7;
Andorra [Europe];2004;Both sexes;null;0.7;null;;0.9;
Albania [Europe];2002;null;Not applicable;5.97;null;;;
Marshall Islands [Western Pacific];2002;null;Not applicable;1.79;null;;;
Antigua and Barbuda [Americas];2004;Male;null;12.7;null;5.26191;11.3;
Brazil [Americas];2004;Male;null;55.6;null;36.33449;11.8;
Micronesia (Federated States of) [Western Pacific];2004;Female;null;0.0;null;3.13299;;
China [Western Pacific];2004;Female;null;8.2;null;10.69103;63.2;
Paraguay [Americas];2002;null;Not applicable;20.07;null;;;
Finland [Europe];2004;Both sexes;null;2.4;null;7.63042;1.3;
Pakistan [Eastern Mediterranean];2004;Male;null;6.1;null;14.68023;20.8;
Burundi [Africa];2004;Both sexes;null;44.8;null;29.7097;21.8;
Fiji [Western Pacific];2004;Both sexes;null;0.7;null;13.08286;3.5;
Latvia [Europe];2004;Male;null;12.5;null;37.11634;1.1;
Nicaragua [Americas];2002;null;Not applicable;13.72;null;;;
Guinea-Bissau [Africa];2002;null;Not applicable;15.78;null;;;
Marshall Islands [Western Pacific];2004;Male;null;3.3;null;;5.3;
Oman [Eastern Mediterranean];2004;Both sexes;null;2.0;null;26.86541;3.4;
Sao Tome and Principe [Africa];2002;null;Not applicable;5.34;null;;;
Timor-Leste [South-East Asia];2004;Male;null;28.2;null;19.83344;15.4;
Kiribati [Western Pacific];2004;Male;null;13.1;null;31.68368;;
Portugal [Europe];2002;null;Not applicable;1.31;null;;;
Equatorial Guinea [Africa];2002;null;Not applicable;15.9;null;;;
Kuwait [Eastern Mediterranean];2004;Male;null;1.4;null;35.79502;5.8;
Sudan [Eastern Mediterranean];2002;null;Not applicable;33.08;null;;;
Armenia [Europe];2004;Both sexes;null;3.2;null;18.46227;13.8;
Guinea-Bissau [Africa];2004;Both sexes;null;21.2;null;31.50841;25.9;
Israel [Europe];2004;Both sexes;null;4.9;null;7.73859;2.3;
Mauritius [Africa];2004;Both sexes;null;2.6;null;15.38249;6.4;
San Marino [Europe];2002;null;Not applicable;0.0;null;;;
Philippines [Western Pacific];2004;Both sexes;null;24.7;null;10.11326;10.9;
Malawi [Africa];2004;Female;null;0.4;null;15.89246;2.0;
Zambia [Africa];2004;Both sexes;null;30.5;null;25.91198;20.6;
Czechia [Europe];2004;Male;null;1.6;null;21.01889;2.3;
India [South-East Asia];2002;null;Not applicable;6.58;null;;;
The former state union Serbia and Montenegro;2002;null;Not applicable;1.64;null;;;
Thailand [South-East Asia];2002;null;Not applicable;9.09;null;;;
Uganda [Africa];2002;null;Not applicable;27.86;null;;;
Bahrain [Eastern Mediterranean];2004;Male;null;1.3;null;22.00928;2.8;
Slovakia [Europe];2002;null;Not applicable;2.07;null;;;
Republic of Korea [Western Pacific];2004;Both sexes;null;2.0;null;16.63318;2.2;
North Macedonia [Europe];2004;Male;null;8.5;null;12.37874;12.8;
United States of America [Americas];2004;Male;null;9.6;null;21.8058;3.5;
Nauru [Western Pacific];2004;Female;null;0.0;null;;;
Yemen [Eastern Mediterranean];2004;Both sexes;null;3.2;null;22.38986;25.7;
Bhutan [South-East Asia];2004;Male;null;7.4;null;17.41561;13.7;
Honduras [Americas];2004;Female;null;0.2;null;11.59425;0.5;
Micronesia (Federated States of) [Western Pacific];2004;Both sexes;null;0.8;null;4.68938;;
Seychelles [Africa];2002;null;Not applicable;3.49;null;;;
Cyprus [Europe];2004;Both sexes;null;0.2;null;14.58558;0.9;
Mongolia [Western Pacific];2004;Both sexes;null;3.3;null;21.07039;14.8;
Democratic People's Republic of Korea [South-East Asia];2004;Both sexes;null;18.6;null;22.73761;14.1;
Mexico [Americas];2002;null;Not applicable;11.08;null;;;
Saudi Arabia [Eastern Mediterranean];2004;Both sexes;null;3.1;null;23.03234;7.4;
Nigeria [Africa];2004;Male;null;34.9;null;37.62474;25.1;
Slovakia [Europe];2004;Both sexes;null;1.8;null;14.45105;4.3;
Philippines [Western Pacific];2002;null;Not applicable;24.88;null;;;
Qatar [Eastern Mediterranean];2002;null;Not applicable;1.41;null;;;
Brunei Darussalam [Western Pacific];2002;null;Not applicable;1.2;null;;;
Djibouti [Eastern Mediterranean];2002;null;Not applicable;4.09;null;;;
Angola [Africa];2004;Both sexes;null;48.2;null;25.87048;32.0;
Cabo Verde [Africa];2004;Female;null;0.0;null;10.48447;0.0;
Niger [Africa];2002;null;Not applicable;19.05;null;;;
Qatar [Eastern Mediterranean];2004;Male;null;0.8;null;40.66444;6.0;
Malta [Europe];2002;null;Not applicable;1.58;null;;;
Panama [Americas];2004;Both sexes;null;12.3;null;13.88653;9.0;
Luxembourg [Europe];2004;Both sexes;null;1.2;null;11.50896;2.7;
Austria [Europe];2004;Male;null;0.7;null;17.05501;4.5;
Bhutan [South-East Asia];2004;Female;null;0.0;null;8.48353;0.0;
Palau [Western Pacific];2004;Female;null;0.0;null;;0.0;
Burundi [Africa];2004;Male;null;83.7;null;41.5522;22.4;
Morocco [Eastern Mediterranean];2004;Both sexes;null;1.2;null;23.76209;12.3;
Lao People's Democratic Republic [Western Pacific];2004;Male;null;9.7;null;19.20099;14.2;
Zimbabwe [Africa];2004;Male;null;63.5;null;61.08033;26.1;
Italy [Europe];2004;Female;null;0.2;null;4.33247;0.2;
Cook Islands [Western Pacific];2002;null;Not applicable;0.96;null;;;
Lithuania [Europe];2002;null;Not applicable;9.75;null;;;
Saint Vincent and the Grenadines [Americas];2004;Male;null;29.5;null;10.04222;12.5;
Cameroon [Africa];2004;Female;null;0.6;null;12.10995;2.6;
Slovenia [Europe];2002;null;Not applicable;0.72;null;;;
Benin [Africa];2004;Female;null;0.2;null;16.99136;1.8;
Viet Nam [Western Pacific];2004;Both sexes;null;4.3;null;24.88237;9.3;
Democratic Republic of the Congo [Africa];2004;Female;null;2.4;null;26.2581;16.4;
Burundi [Africa];2004;Female;null;0.3;null;18.21865;1.6;
Republic of Korea [Western Pacific];2002;null;Not applicable;1.74;null;;;
Venezuela (Bolivarian Republic of) [Americas];2002;null;Not applicable;34.94;null;;;
Croatia [Europe];2004;Both sexes;null;1.6;null;14.30241;2.1;
Burkina Faso [Africa];2004;Female;null;0.5;null;21.08534;2.2;
Palau [Western Pacific];2004;Both sexes;null;0.8;null;;2.8;
Kenya [Africa];2004;Both sexes;null;26.3;null;25.8985;18.5;
Dominica [Americas];2004;Male;null;16.2;null;;9.7;
South Africa [Africa];2004;Female;null;5.1;null;23.37798;3.4;
Netherlands [Europe];2004;Female;null;0.1;null;3.19427;0.0;
Vanuatu [Western Pacific];2004;Male;null;1.8;null;21.14815;4.0;
Uruguay [Americas];2004;Male;null;7.4;null;22.07022;4.1;
Jamaica [Americas];2004;Female;null;0.2;null;7.63585;0.1;
Finland [Europe];2004;Female;null;0.0;null;4.71853;0.0;
Iran (Islamic Republic of) [Eastern Mediterranean];2004;Both sexes;null;2.8;null;39.01015;14.6;
Russian Federation [Europe];2004;Female;null;10.1;null;15.10987;1.3;
Saint Lucia [Americas];2004;Male;null;39.6;null;32.60878;10.8;
Bolivia (Plurinational State of) [Americas];2004;Female;null;0.1;null;9.46104;1.0;
Nigeria [Africa];2004;Both sexes;null;21.4;null;27.63811;25.3;
Kyrgyzstan [Europe];2004;Male;null;15.1;null;28.58152;23.7;
Sao Tome and Principe [Africa];2004;Female;null;0.0;null;14.43588;;
Philippines [Western Pacific];2004;Female;null;1.5;null;5.00834;5.4;
United Arab Emirates [Eastern Mediterranean];2002;null;Not applicable;0.86;null;;;
United Republic of Tanzania [Africa];2004;Both sexes;null;33.3;null;30.09382;20.1;
Azerbaijan [Europe];2002;null;Not applicable;3.0;null;;;
Iceland [Europe];2004;Both sexes;null;1.0;null;8.2563;0.9;
Uganda [Africa];2004;Both sexes;null;33.1;null;32.43318;15.9;
Malta [Europe];2004;Male;null;0.7;null;5.77002;2.3;
Saint Vincent and the Grenadines [Americas];2004;Female;null;0.0;null;4.65063;0.0;
Turkey [Europe];2004;Both sexes;null;2.9;null;6.81083;11.5;
Monaco [Europe];2004;Both sexes;null;0.9;null;;0.2;
Somalia [Eastern Mediterranean];2004;Both sexes;null;1.9;null;27.67947;23.7;
Barbados [Americas];2004;Both sexes;null;14.5;null;16.71008;8.1;
Bulgaria [Europe];2004;Male;null;4.2;null;19.61466;4.5;
Denmark [Europe];2004;Both sexes;null;0.9;null;7.03345;2.4;
Switzerland [Europe];2004;Female;null;0.0;null;3.07229;0.0;
Brunei Darussalam [Western Pacific];2004;Male;null;1.2;null;18.29818;5.3;
Paraguay [Americas];2004;Both sexes;null;19.1;null;12.07562;8.8;
Paraguay [Americas];2004;Female;null;0.1;null;4.99665;0.3;
Suriname [Americas];2002;null;Not applicable;4.91;null;;;
Cambodia [Western Pacific];2002;null;Not applicable;21.82;null;;;
India [South-East Asia];2004;Male;null;8.6;null;23.60447;24.7;
Solomon Islands [Western Pacific];2004;Both sexes;null;1.2;null;18.31954;17.3;
Costa Rica [Americas];2004;Female;null;0.0;null;5.25127;0.1;
Jordan [Eastern Mediterranean];2002;null;Not applicable;3.2;null;;;
Algeria [Africa];2004;Both sexes;null;9.8;null;22.47634;17.1;
Latvia [Europe];2004;Both sexes;null;9.2;null;23.51989;0.9;
Cameroon [Africa];2004;Male;null;30.2;null;43.55688;20.6;
Portugal [Europe];2004;Female;null;0.0;null;8.40657;0.1;
Venezuela (Bolivarian Republic of) [Americas];2004;Female;null;0.6;null;10.97749;1.1;
Finland [Europe];2002;null;Not applicable;2.83;null;;;
Papua New Guinea [Western Pacific];2004;Male;null;32.2;null;26.36715;16.9;
Benin [Africa];2004;Male;null;25.1;null;39.14853;22.4;
United Kingdom of Great Britain and Northern Ireland [Europe];2004;Female;null;0.3;null;3.43985;0.6;
Canada [Americas];2004;Both sexes;null;1.4;null;8.94533;1.7;
Bosnia and Herzegovina [Europe];2004;Both sexes;null;1.8;null;18.14466;2.6;
Kazakhstan [Europe];2004;Male;null;25.0;null;39.42599;33.3;
Central African Republic [Africa];2002;null;Not applicable;28.6;null;;;
Costa Rica [Americas];2002;null;Not applicable;6.78;null;;;
Guyana [Americas];2002;null;Not applicable;10.55;null;;;
Nigeria [Africa];2002;null;Not applicable;28.75;null;;;
Japan [Western Pacific];2004;Both sexes;null;0.5;null;10.08547;0.4;
Vanuatu [Western Pacific];2004;Both sexes;null;1.0;null;14.20712;2.2;
France [Europe];2004;Female;null;0.2;null;4.39173;0.1;
Niue [Western Pacific];2002;null;Not applicable;1.07;null;;;
Lithuania [Europe];2004;Both sexes;null;8.2;null;23.60155;2.3;
Libya [Eastern Mediterranean];2004;Female;null;0.0;null;10.29593;0.3;
Uruguay [Americas];2004;Both sexes;null;4.9;null;13.90944;3.6;
Iceland [Europe];2004;Female;null;0.0;null;4.89453;0.0;
Eritrea [Africa];2004;Female;null;0.1;null;16.97977;0.5;
Belarus [Europe];2004;Both sexes;null;8.9;null;23.02302;1.8;
Fiji [Western Pacific];2004;Male;null;1.3;null;18.70091;2.8;
Equatorial Guinea [Africa];2004;Both sexes;null;28.3;null;19.75339;32.7;
Mexico [Americas];2004;Male;null;17.8;null;23.88006;10.3;
Kuwait [Eastern Mediterranean];2004;Female;null;0.0;null;10.49312;0.1;
Bulgaria [Europe];2002;null;Not applicable;2.74;null;;;
Democratic People's Republic of Korea [South-East Asia];2004;Male;null;32.6;null;33.94639;14.5;
Belize [Americas];2002;null;Not applicable;15.49;null;;;
Senegal [Africa];2002;null;Not applicable;13.26;null;;;
Saint Lucia [Americas];2004;Female;null;0.0;null;8.64223;0.0;
Bahrain [Eastern Mediterranean];2004;Female;null;0.0;null;6.37216;0.0;
Sao Tome and Principe [Africa];2004;Male;null;9.9;null;43.44028;;
Croatia [Europe];2002;null;Not applicable;1.7;null;;;
Lebanon [Eastern Mediterranean];2004;Male;null;4.4;null;27.36737;12.9;
Antigua and Barbuda [Americas];2004;Female;null;0.0;null;0.0;0.0;
Madagascar [Africa];2004;Male;null;23.0;null;34.62613;27.6;
South Africa [Africa];2004;Male;null;121.1;null;59.66228;14.7;
Kyrgyzstan [Europe];2004;Female;null;0.1;null;9.01711;0.5;
Myanmar [South-East Asia];2002;null;Not applicable;18.51;null;;;
Afghanistan [Eastern Mediterranean];2004;Female;null;0.1;null;7.11146;6.0;
Somalia [Eastern Mediterranean];2004;Male;null;2.4;null;39.54039;22.8;
Zambia [Africa];2004;Male;null;51.7;null;37.42938;23.0;
Thailand [South-East Asia];2004;Male;null;10.7;null;62.82821;8.2;
Lithuania [Europe];2004;Male;null;12.2;null;39.37495;2.1;
Cook Islands [Western Pacific];2004;Female;null;0.0;null;;0.0;
Trinidad and Tobago [Americas];2004;Male;null;19.1;null;27.97285;13.5;
Yemen [Eastern Mediterranean];2002;null;Not applicable;3.08;null;;;
Mauritania [Africa];2004;Female;null;0.1;null;22.39089;0.5;
Jamaica [Americas];2004;Male;null;64.8;null;17.22884;8.3;
Namibia [Africa];2002;null;Not applicable;32.62;null;;;
Malta [Europe];2004;Both sexes;null;0.8;null;3.4755;1.9;
Kazakhstan [Europe];2004;Female;null;0.7;null;12.41466;1.5;
Congo [Africa];2004;Female;null;0.1;null;20.90307;0.6;
Niger [Africa];2004;Both sexes;null;26.9;null;27.90663;16.8;
Andorra [Europe];2004;Female;null;0.0;null;;0.0;
Monaco [Europe];2004;Female;null;0.0;null;;0.0;
Mauritius [Africa];2004;Male;null;4.2;null;24.85048;6.4;
Gambia [Africa];2004;Male;null;25.4;null;36.81726;27.7;
South Africa [Africa];2004;Both sexes;null;70.8;null;41.26669;13.1;
Guyana [Americas];2004;Both sexes;null;23.8;null;29.09873;22.3;
Senegal [Africa];2004;Female;null;0.4;null;15.64488;2.0;
Honduras [Americas];2004;Male;null;46.7;null;20.3143;11.2;
Nauru [Western Pacific];2004;Both sexes;null;12.6;null;;;
Myanmar [South-East Asia];2004;Female;null;1.1;null;11.73143;5.6;
