Country;Year;Sex;Data Source;Age-standardized death rates violence per 100000;Comments;Estimated road traffic death rate (per 100 000 population);Age-standardized death rates prematurity and low birth rate per 100000;Mortality rate attributed to unintentional poisoning (per 100 000 population);
Indonesia [South-East Asia];2002;null;Not applicable;10.39;null;;;;
Czechia [Europe];2002;null;Not applicable;1.22;null;;;;
Austria [Europe];2002;null;Not applicable;0.91;null;;;;
Bahrain [Eastern Mediterranean];2004;Female;null;0.0;null;6.37216;0.0;0.09953;
Ghana [Africa];2004;Both sexes;null;14.1;null;25.4368;22.9;2.14945;
Colombia [Americas];2004;Male;null;155.7;null;28.01129;11.1;0.23991;
Myanmar [South-East Asia];2004;Both sexes;null;16.3;null;19.71811;27.8;3.02241;
Kenya [Africa];2004;Male;null;43.6;null;39.41805;20.5;3.85118;
Czechia [Europe];2004;Female;null;0.0;null;7.18276;0.1;0.34448;
Belgium [Europe];2004;Female;null;0.1;null;5.0625;0.0;0.58675;
Guyana [Americas];2004;Female;null;0.0;null;11.50979;0.1;0.1618;
Russian Federation [Europe];2004;Male;null;43.3;null;46.88876;4.4;14.83082;
Tunisia [Eastern Mediterranean];2004;Both sexes;null;1.7;null;23.42781;8.5;0.86229;
Indonesia [South-East Asia];2004;Male;null;15.6;null;21.82144;12.0;0.65297;
Cuba [Americas];2004;Both sexes;null;5.6;null;11.43074;1.0;0.28652;
Palau [Western Pacific];2004;Male;null;1.5;null;;1.8;;
Sri Lanka [South-East Asia];2004;Both sexes;null;6.8;null;14.6953;7.1;0.82943;
Russian Federation [Europe];2004;Both sexes;null;26.7;null;29.91241;3.9;8.95348;
Tajikistan [Europe];2004;Female;null;0.1;null;8.33392;1.2;0.87356;
Turkmenistan [Europe];2004;Both sexes;null;9.9;null;17.34917;29.0;1.42043;
Malaysia [Western Pacific];2004;Both sexes;null;10.2;null;25.48962;4.4;0.6851;
Bhutan [South-East Asia];2004;Both sexes;null;5.7;null;13.14947;13.6;0.47583;
Chad [Africa];2004;Female;null;0.4;null;17.01021;1.7;2.69843;
Timor-Leste [South-East Asia];2002;null;Not applicable;22.9;null;;;;
China [Western Pacific];2004;Male;null;2.8;null;29.87821;10.2;2.33047;
Malaysia [Western Pacific];2002;null;Not applicable;9.73;null;;;;
Papua New Guinea [Western Pacific];2002;null;Not applicable;20.11;null;;;;
Slovenia [Europe];2004;Male;null;2.7;null;23.30099;2.6;0.88846;
Dominican Republic [Americas];2004;Male;null;33.7;null;58.34671;15.6;0.33328;
South Africa [Africa];2004;Female;null;5.1;null;23.37798;3.4;1.88277;
India [South-East Asia];2004;Male;null;8.6;null;23.60447;24.7;0.58818;
Panama [Americas];2004;Male;null;22.3;null;23.17666;9.9;0.66004;
Angola [Africa];2004;Male;null;84.5;null;29.83948;35.9;5.08306;
Ghana [Africa];2004;Male;null;20.1;null;35.94458;23.3;2.73666;
Chad [Africa];2004;Male;null;39.9;null;33.15619;20.0;5.01687;
Tajikistan [Europe];2004;Both sexes;null;3.3;null;19.07723;26.4;1.348;
Colombia [Americas];2002;null;Not applicable;73.07;null;;;;
Netherlands [Europe];2002;null;Not applicable;1.1;null;;;;
Singapore [Western Pacific];2002;null;Not applicable;0.82;null;;;;
Belgium [Europe];2004;Both sexes;null;1.6;null;11.43117;1.2;0.57737;
Latvia [Europe];2002;null;Not applicable;11.84;null;;;;
Liberia [Africa];2004;Both sexes;null;21.5;null;37.3377;44.3;2.599;
Morocco [Eastern Mediterranean];2004;Male;null;2.1;null;40.34035;13.6;0.94926;
Norway [Europe];2002;null;Not applicable;1.12;null;;;;
Togo [Africa];2004;Both sexes;null;16.7;null;31.04213;24.9;2.50319;
North Macedonia [Europe];2004;Female;null;0.0;null;3.17786;0.0;0.4237;
San Marino [Europe];2004;Female;null;0.0;null;;;;
Congo [Africa];2002;null;Not applicable;20.57;null;;;;
China [Western Pacific];2004;Female;null;8.2;null;10.69103;63.2;1.67487;
Saint Kitts and Nevis [Americas];2002;null;Not applicable;12.08;null;;;;
Saint Vincent and the Grenadines [Americas];2004;Both sexes;null;16.6;null;7.37191;11.7;0.04625;
Republic of Korea [Western Pacific];2004;Female;null;0.5;null;9.44037;0.4;0.28925;
Poland [Europe];2004;Male;null;2.2;null;27.02152;3.7;1.68547;
France [Europe];2002;null;Not applicable;0.65;null;;;;
Egypt [Eastern Mediterranean];2004;Female;null;0.2;null;6.20555;4.7;0.20434;
Tunisia [Eastern Mediterranean];2002;null;Not applicable;2.3;null;;;;
Yemen [Eastern Mediterranean];2004;Female;null;0.1;null;15.4861;4.5;1.85939;
Saint Lucia [Americas];2004;Female;null;0.0;null;8.64223;0.0;0.10719;
Mongolia [Western Pacific];2004;Both sexes;null;3.3;null;21.07039;14.8;4.65938;
Botswana [Africa];2004;Female;null;0.1;null;12.94619;0.3;2.62742;
Benin [Africa];2004;Female;null;0.2;null;16.99136;1.8;2.1794;
Cameroon [Africa];2004;Female;null;0.6;null;12.10995;2.6;2.14454;
Madagascar [Africa];2002;null;Not applicable;12.29;null;;;;
Central African Republic [Africa];2004;Female;null;0.2;null;24.61905;0.9;2.00014;
Costa Rica [Americas];2004;Male;null;11.3;null;25.45813;4.0;0.15528;
Paraguay [Americas];2004;Both sexes;null;19.1;null;12.07562;8.8;0.27681;
Bahrain [Eastern Mediterranean];2002;null;Not applicable;0.9;null;;;;
New Zealand [Western Pacific];2002;null;Not applicable;1.28;null;;;;
South Africa [Africa];2002;null;Not applicable;45.61;null;;;;
Haiti [Americas];2002;null;Not applicable;14.56;null;;;;
Mali [Africa];2002;null;Not applicable;16.92;null;;;;
Switzerland [Europe];2004;Both sexes;null;0.9;null;7.18214;1.5;0.07506;
Grenada [Americas];2004;Male;null;2.7;null;3.36478;5.0;0.65347;
Eswatini [Africa];2002;null;Not applicable;6.76;null;;;;
Colombia [Americas];2004;Female;null;2.4;null;7.34937;1.9;0.08273;
Chad [Africa];2002;null;Not applicable;15.0;null;;;;
Singapore [Western Pacific];2004;Both sexes;null;1.2;null;6.2482;1.1;0.0289;
Belize [Americas];2004;Male;null;51.0;null;37.84583;19.7;0.81517;
Jamaica [Americas];2004;Male;null;64.8;null;17.22884;8.3;0.12147;
Malawi [Africa];2004;Male;null;42.9;null;50.48161;19.0;3.5676;
Honduras [Americas];2004;Male;null;46.7;null;20.3143;11.2;0.81861;
Argentina [Americas];2004;Both sexes;null;6.8;null;10.61001;8.0;0.56809;
Georgia [Europe];2004;Male;null;6.2;null;25.11802;22.0;0.8431;
Kenya [Africa];2004;Both sexes;null;26.3;null;25.8985;18.5;2.72344;
Kyrgyzstan [Europe];2002;null;Not applicable;10.34;null;;;;
Chile [Americas];2004;Both sexes;null;5.3;null;17.83331;2.5;0.37974;
Albania [Europe];2004;Male;null;11.5;null;22.91743;5.4;0.63768;
Turkmenistan [Europe];2004;Female;null;0.1;null;7.27693;0.6;0.90475;
Trinidad and Tobago [Americas];2002;null;Not applicable;8.64;null;;;;
Brunei Darussalam [Western Pacific];2004;Both sexes;null;0.9;null;12.51968;4.6;0.27161;
Central African Republic [Africa];2004;Male;null;62.6;null;42.89804;26.0;4.99437;
Spain [Europe];2004;Male;null;1.7;null;18.20615;1.3;0.5123;
Israel [Europe];2004;Both sexes;null;4.9;null;7.73859;2.3;0.03562;
Saint Vincent and the Grenadines [Americas];2004;Female;null;0.0;null;4.65063;0.0;0.04939;
Benin [Africa];2004;Male;null;25.1;null;39.14853;22.4;4.03243;
Maldives [South-East Asia];2004;Both sexes;null;2.3;null;1.60635;18.8;0.07884;
Lao People's Democratic Republic [Western Pacific];2004;Male;null;9.7;null;19.20099;14.2;1.3489;
Seychelles [Africa];2004;Male;null;5.5;null;14.7295;5.2;0.75021;
Nigeria [Africa];2004;Male;null;34.9;null;37.62474;25.1;3.8414;
Canada [Americas];2002;null;Not applicable;1.45;null;;;;
Lao People's Democratic Republic [Western Pacific];2004;Female;null;0.1;null;8.59325;0.5;0.99232;
Jamaica [Americas];2004;Both sexes;null;37.7;null;12.3907;8.0;0.10799;
Brazil [Americas];2004;Both sexes;null;29.9;null;22.23183;10.6;0.10028;
Barbados [Americas];2004;Male;null;24.5;null;30.71482;7.7;0.0232;
C\u00f4te d'Ivoire [Africa];2004;Female;null;1.4;null;14.21644;5.4;1.47037;
Madagascar [Africa];2004;Female;null;0.5;null;18.25361;4.3;2.92422;
Comoros [Africa];2004;Male;null;17.6;null;35.07484;22.0;3.31905;
Jamaica [Americas];2002;null;Not applicable;0.54;null;;;;
Lithuania [Europe];2004;Male;null;12.2;null;39.37495;2.1;10.07886;
Democratic Republic of the Congo [Africa];2004;Male;null;22.8;null;46.9591;32.7;3.22103;
Brazil [Americas];2004;Female;null;4.8;null;8.43558;9.4;0.05868;
Togo [Africa];2002;null;Not applicable;12.79;null;;;;
Comoros [Africa];2004;Both sexes;null;11.3;null;26.95779;19.8;2.8521;
Thailand [South-East Asia];2004;Female;null;1.0;null;15.62612;1.6;0.20141;
Nepal [South-East Asia];2002;null;Not applicable;18.82;null;;;;
Austria [Europe];2004;Male;null;0.7;null;17.05501;4.5;0.15149;
Dominica [Americas];2004;Female;null;0.0;null;;0.0;;
Gabon [Africa];2004;Male;null;29.3;null;34.26464;26.1;2.13966;
Finland [Europe];2004;Male;null;3.6;null;10.67096;1.7;1.3912;
Suriname [Americas];2004;Both sexes;null;12.9;null;29.37125;14.9;0.32766;
Iraq [Eastern Mediterranean];2004;Female;null;0.2;null;13.03024;7.7;0.42197;
Lebanon [Eastern Mediterranean];2004;Both sexes;null;2.7;null;17.52974;11.0;0.63681;
United States of America [Americas];2004;Male;null;9.6;null;21.8058;3.5;0.47055;
Indonesia [South-East Asia];2004;Female;null;4.0;null;6.90901;12.0;0.18447;
Netherlands [Europe];2004;Male;null;1.7;null;7.99651;1.6;0.14453;
Seychelles [Africa];2004;Both sexes;null;3.2;null;9.15458;5.0;0.68627;
Paraguay [Americas];2004;Female;null;0.1;null;4.99665;0.3;0.24529;
Slovenia [Europe];2004;Female;null;0.0;null;5.83876;0.0;0.4316;
Qatar [Eastern Mediterranean];2004;Both sexes;null;0.9;null;29.46908;5.8;0.3692;
Haiti [Americas];2004;Female;null;0.1;null;12.43221;1.1;0.91352;
Gambia [Africa];2004;Both sexes;null;16.1;null;25.92675;24.9;3.07191;
Nepal [South-East Asia];2004;Male;null;28.5;null;21.74637;13.4;2.44715;
Burkina Faso [Africa];2004;Female;null;0.5;null;21.08534;2.2;2.66908;
Switzerland [Europe];2002;null;Not applicable;0.91;null;;;;
Zambia [Africa];2004;Both sexes;null;30.5;null;25.91198;20.6;4.17496;
Lao People's Democratic Republic [Western Pacific];2002;null;Not applicable;7.69;null;;;;
Luxembourg [Europe];2002;null;Not applicable;1.84;null;;;;
Saint Kitts and Nevis [Americas];2004;Female;null;0.0;null;;0.0;;
Italy [Europe];2004;Female;null;0.2;null;4.33247;0.2;0.21211;
Democratic People's Republic of Korea [South-East Asia];2002;null;Not applicable;19.38;null;;;;
Lesotho [Africa];2002;null;Not applicable;8.59;null;;;;
Mauritania [Africa];2004;Female;null;0.1;null;22.39089;0.5;1.25408;
Timor-Leste [South-East Asia];2004;Female;null;0.0;null;10.73631;0.1;0.52575;
C\u00f4te d'Ivoire [Africa];2004;Both sexes;null;62.4;null;26.46004;42.1;2.65494;
Argentina [Americas];2004;Male;null;12.1;null;16.84919;8.7;0.76153;
Japan [Western Pacific];2002;null;Not applicable;0.58;null;;;;
Eritrea [Africa];2004;Both sexes;null;20.3;null;33.53176;12.1;4.10777;
Guatemala [Americas];2004;Male;null;96.4;null;8.23115;10.0;2.14791;
Comoros [Africa];2004;Female;null;0.0;null;18.72625;0.1;2.37856;
Viet Nam [Western Pacific];2002;null;Not applicable;4.88;null;;;;
Botswana [Africa];2004;Both sexes;null;24.2;null;29.80921;31.6;2.92768;
Qatar [Eastern Mediterranean];2004;Female;null;0.0;null;8.15187;0.0;0.07416;
Luxembourg [Europe];2004;Female;null;0.0;null;7.27249;0.0;0.68101;
Cyprus [Europe];2002;null;Not applicable;0.22;null;;;;
Bhutan [South-East Asia];2002;null;Not applicable;6.31;null;;;;
Belize [Americas];2004;Female;null;0.0;null;8.97698;0.0;0.36247;
Cuba [Americas];2004;Female;null;0.1;null;4.93633;0.0;0.17059;
Antigua and Barbuda [Americas];2004;Both sexes;null;7.5;null;2.4892;9.8;0.71244;
Czechia [Europe];2004;Male;null;1.6;null;21.01889;2.3;1.64812;
Republic of Moldova [Europe];2004;Female;null;0.1;null;7.2283;0.0;5.35924;
United Republic of Tanzania [Africa];2004;Both sexes;null;33.3;null;30.09382;20.1;2.85058;
Antigua and Barbuda [Americas];2002;null;Not applicable;10.83;null;;;;
C\u00f4te d'Ivoire [Africa];2002;null;Not applicable;33.18;null;;;;
Belarus [Europe];2004;Male;null;13.1;null;36.91716;1.9;12.44757;
Armenia [Europe];2002;null;Not applicable;3.56;null;;;;
Chile [Americas];2004;Male;null;9.7;null;29.59168;3.0;0.38466;
Sierra Leone [Africa];2004;Both sexes;null;39.8;null;31.24773;34.7;3.39872;
Tuvalu [Western Pacific];2002;null;Not applicable;2.15;null;;;;
Gambia [Africa];2004;Male;null;25.4;null;36.81726;27.7;3.96767;
Iraq [Eastern Mediterranean];2002;null;Not applicable;4.06;null;;;;
Liberia [Africa];2002;null;Not applicable;41.55;null;;;;
Bangladesh [South-East Asia];2004;Both sexes;null;9.7;null;16.35782;20.9;0.25418;
Myanmar [South-East Asia];2004;Female;null;1.1;null;11.73143;5.6;3.49763;
Venezuela (Bolivarian Republic of) [Americas];2004;Both sexes;null;38.2;null;28.18831;7.7;0.25815;
Cook Islands [Western Pacific];2004;Female;null;0.0;null;;0.0;;
Palau [Western Pacific];2002;null;Not applicable;0.96;null;;;;
Spain [Europe];2002;null;Not applicable;0.91;null;;;;
San Marino [Europe];2004;Male;null;0.0;null;;;;
Vanuatu [Western Pacific];2004;Both sexes;null;1.0;null;14.20712;2.2;0.83341;
Croatia [Europe];2004;Both sexes;null;1.6;null;14.30241;2.1;0.91963;
Singapore [Western Pacific];2004;Female;null;0.0;null;2.61496;0.0;0.01887;
Dominican Republic [Americas];2004;Both sexes;null;18.6;null;35.99186;14.3;0.29071;
United Republic of Tanzania [Africa];2004;Male;null;57.0;null;43.04753;22.4;3.26689;
Tuvalu [Western Pacific];2004;Both sexes;null;1.9;null;;2.5;;
Egypt [Eastern Mediterranean];2004;Male;null;2.3;null;15.16608;10.0;0.28338;
Bangladesh [South-East Asia];2002;null;Not applicable;9.86;null;;;;
Israel [Europe];2004;Male;null;7.2;null;12.17829;2.5;0.03679;
Madagascar [Africa];2004;Male;null;23.0;null;34.62613;27.6;3.80748;
Thailand [South-East Asia];2004;Both sexes;null;6.7;null;38.85907;7.4;0.35293;
Bahamas [Americas];2002;null;Not applicable;20.97;null;;;;
Honduras [Americas];2002;null;Not applicable;16.23;null;;;;
Malaysia [Western Pacific];2004;Male;null;17.9;null;41.03165;5.0;0.98287;
Bosnia and Herzegovina [Europe];2002;null;Not applicable;1.89;null;;;;
Ukraine [Europe];2004;Both sexes;null;10.6;null;20.58348;7.0;7.58701;
Tuvalu [Western Pacific];2004;Male;null;3.3;null;;1.9;;
Greece [Europe];2004;Both sexes;null;0.8;null;17.49;2.6;0.24776;
Papua New Guinea [Western Pacific];2004;Both sexes;null;19.1;null;17.65869;15.6;1.31076;
Qatar [Eastern Mediterranean];2004;Male;null;0.8;null;40.66444;6.0;0.52414;
Rwanda [Africa];2004;Female;null;0.5;null;23.38891;2.0;3.2624;
Germany [Europe];2002;null;Not applicable;0.71;null;;;;
Democratic Republic of the Congo [Africa];2004;Female;null;2.4;null;26.2581;16.4;1.18935;
Lithuania [Europe];2004;Both sexes;null;8.2;null;23.60155;2.3;5.72546;
Sao Tome and Principe [Africa];2004;Female;null;0.0;null;14.43588;;0.15901;
Democratic People's Republic of Korea [South-East Asia];2004;Female;null;0.6;null;12.05117;1.3;1.00292;
Cabo Verde [Africa];2002;null;Not applicable;2.31;null;;;;
Ghana [Africa];2004;Female;null;0.7;null;14.71554;3.9;1.55032;
Indonesia [South-East Asia];2004;Both sexes;null;9.7;null;14.38919;11.0;0.41947;
North Macedonia [Europe];2002;null;Not applicable;2.86;null;;;;
Turkmenistan [Europe];2004;Male;null;17.0;null;27.7507;34.3;1.95297;
Monaco [Europe];2004;Female;null;0.0;null;;0.0;;
Saint Lucia [Americas];2004;Male;null;39.6;null;32.60878;10.8;0.29592;
Greece [Europe];2004;Male;null;1.2;null;27.21521;2.9;0.41031;
Peru [Americas];2002;null;Not applicable;4.03;null;;;;
Uzbekistan [Europe];2004;Male;null;6.0;null;20.1855;25.2;1.60875;
Rwanda [Africa];2004;Both sexes;null;34.4;null;36.72593;24.0;4.08608;
Iceland [Europe];2004;Male;null;1.2;null;11.60461;0.9;0.34713;
Libya [Eastern Mediterranean];2002;null;Not applicable;2.77;null;;;;
South Africa [Africa];2004;Male;null;121.1;null;59.66228;14.7;2.32834;
Republic of Korea [Western Pacific];2004;Both sexes;null;2.0;null;16.63318;2.2;0.47072;
Viet Nam [Western Pacific];2004;Both sexes;null;4.3;null;24.88237;9.3;1.12516;
Iraq [Eastern Mediterranean];2004;Both sexes;null;8.5;null;21.05736;35.6;0.4163;
Algeria [Africa];2004;Female;null;0.9;null;14.01115;2.9;0.78108;
Costa Rica [Americas];2004;Both sexes;null;6.7;null;15.38405;3.8;0.13033;
India [South-East Asia];2004;Female;null;20.3;null;6.91308;193.4;0.41278;
Kiribati [Western Pacific];2004;Male;null;13.1;null;31.68368;;2.92104;
Kenya [Africa];2002;null;Not applicable;18.18;null;;;;
Italy [Europe];2002;null;Not applicable;1.02;null;;;;
Denmark [Europe];2004;Both sexes;null;0.9;null;7.03345;2.4;0.2658;
Haiti [Americas];2004;Both sexes;null;6.8;null;18.89007;16.5;1.29015;
Burundi [Africa];2004;Male;null;83.7;null;41.5522;22.4;3.291;
Algeria [Africa];2002;null;Not applicable;13.1;null;;;;
Marshall Islands [Western Pacific];2004;Male;null;3.3;null;;5.3;;
Tuvalu [Western Pacific];2004;Female;null;0.0;null;;0.0;;
Zimbabwe [Africa];2002;null;Not applicable;13.59;null;;;;
Congo [Africa];2004;Both sexes;null;23.5;null;25.80853;20.3;2.09607;
Vanuatu [Western Pacific];2002;null;Not applicable;1.09;null;;;;
Mauritius [Africa];2004;Both sexes;null;2.6;null;15.38249;6.4;0.33522;
North Macedonia [Europe];2004;Male;null;8.5;null;12.37874;12.8;0.96296;
Georgia [Europe];2004;Female;null;0.0;null;6.83631;0.2;0.47101;
Albania [Europe];2002;null;Not applicable;5.97;null;;;;
Trinidad and Tobago [Americas];2004;Male;null;19.1;null;27.97285;13.5;0.18032;
Marshall Islands [Western Pacific];2002;null;Not applicable;1.79;null;;;;
Bulgaria [Europe];2004;Female;null;0.1;null;5.77858;0.1;0.46125;
Bolivia (Plurinational State of) [Americas];2004;Male;null;7.4;null;20.74212;15.3;0.97239;
South Africa [Africa];2004;Both sexes;null;70.8;null;41.26669;13.1;2.10244;
Maldives [South-East Asia];2004;Male;null;1.9;null;2.20799;19.2;0.09008;
Paraguay [Americas];2002;null;Not applicable;20.07;null;;;;
Philippines [Western Pacific];2004;Both sexes;null;24.7;null;10.11326;10.9;0.2361;
Thailand [South-East Asia];2004;Male;null;10.7;null;62.82821;8.2;0.50925;
Tunisia [Eastern Mediterranean];2004;Female;null;0.0;null;13.76139;0.3;0.64851;
Nicaragua [Americas];2002;null;Not applicable;13.72;null;;;;
Ethiopia [Africa];2004;Male;null;43.8;null;33.34996;17.6;9.04959;
Mexico [Americas];2004;Both sexes;null;9.9;null;14.95384;9.0;0.72439;
Gabon [Africa];2004;Both sexes;null;18.7;null;25.10155;22.6;1.65775;
Oman [Eastern Mediterranean];2004;Both sexes;null;2.0;null;26.86541;3.4;1.32332;
Guinea-Bissau [Africa];2002;null;Not applicable;15.78;null;;;;
Sao Tome and Principe [Africa];2002;null;Not applicable;5.34;null;;;;
Portugal [Europe];2002;null;Not applicable;1.31;null;;;;
Equatorial Guinea [Africa];2002;null;Not applicable;15.9;null;;;;
Germany [Europe];2004;Female;null;0.3;null;3.99856;0.4;0.06999;
Morocco [Eastern Mediterranean];2004;Female;null;0.1;null;7.55722;1.8;1.17506;
Antigua and Barbuda [Americas];2004;Male;null;12.7;null;5.26191;11.3;1.44846;
Sudan [Eastern Mediterranean];2002;null;Not applicable;33.08;null;;;;
Chad [Africa];2004;Both sexes;null;23.8;null;25.05454;18.1;3.85354;
Bosnia and Herzegovina [Europe];2004;Female;null;0.0;null;9.00482;0.0;0.31845;
Solomon Islands [Western Pacific];2004;Both sexes;null;1.2;null;18.31954;17.3;1.90934;
San Marino [Europe];2002;null;Not applicable;0.0;null;;;;
Austria [Europe];2004;Both sexes;null;0.7;null;11.01401;4.0;0.13764;
Bahamas [Americas];2004;Female;null;0.0;null;7.15708;0.0;0.12979;
Senegal [Africa];2004;Both sexes;null;17.2;null;24.89342;20.6;3.1843;
Finland [Europe];2004;Both sexes;null;2.4;null;7.63042;1.3;0.94998;
India [South-East Asia];2002;null;Not applicable;6.58;null;;;;
The former state union Serbia and Montenegro;2002;null;Not applicable;1.64;null;;;;
Niue [Western Pacific];2004;Both sexes;null;1.0;null;;2.4;;
Marshall Islands [Western Pacific];2004;Female;null;0.0;null;;0.0;;
Thailand [South-East Asia];2002;null;Not applicable;9.09;null;;;;
Uganda [Africa];2002;null;Not applicable;27.86;null;;;;
Ecuador [Americas];2004;Both sexes;null;25.1;null;13.77572;9.0;0.52923;
Slovakia [Europe];2002;null;Not applicable;2.07;null;;;;
Norway [Europe];2004;Male;null;1.1;null;9.12222;0.2;0.60288;
Armenia [Europe];2004;Female;null;0.0;null;9.67343;0.1;0.74389;
North Macedonia [Europe];2004;Both sexes;null;5.1;null;7.77815;10.1;0.69332;
Nauru [Western Pacific];2004;Female;null;0.0;null;;;;
Philippines [Western Pacific];2004;Female;null;1.5;null;5.00834;5.4;0.16672;
Kenya [Africa];2004;Female;null;1.4;null;12.58564;5.3;1.61294;
Seychelles [Africa];2002;null;Not applicable;3.49;null;;;;
United Kingdom of Great Britain and Northern Ireland [Europe];2004;Female;null;0.3;null;3.43985;0.6;0.20122;
Senegal [Africa];2004;Male;null;27.2;null;34.5606;21.6;4.09945;
Mexico [Americas];2002;null;Not applicable;11.08;null;;;;
Iceland [Europe];2004;Female;null;0.0;null;4.89453;0.0;0.0;
Philippines [Western Pacific];2002;null;Not applicable;24.88;null;;;;
Qatar [Eastern Mediterranean];2002;null;Not applicable;1.41;null;;;;
Niue [Western Pacific];2004;Female;null;0.0;null;;0.0;;
Uzbekistan [Europe];2004;Both sexes;null;4.0;null;12.83093;21.4;1.12593;
Marshall Islands [Western Pacific];2004;Both sexes;null;1.7;null;;6.8;;
Brunei Darussalam [Western Pacific];2002;null;Not applicable;1.2;null;;;;
Djibouti [Eastern Mediterranean];2002;null;Not applicable;4.09;null;;;;
Canada [Americas];2004;Male;null;2.0;null;12.59281;1.8;0.49116;
Niger [Africa];2002;null;Not applicable;19.05;null;;;;
Trinidad and Tobago [Americas];2004;Female;null;0.1;null;7.98025;0.0;0.07792;
Malta [Europe];2002;null;Not applicable;1.58;null;;;;
Colombia [Americas];2004;Both sexes;null;81.7;null;17.47554;9.4;0.15976;
Afghanistan [Eastern Mediterranean];2004;Both sexes;null;3.8;null;15.19411;25.1;2.43996;
Iran (Islamic Republic of) [Eastern Mediterranean];2004;Female;null;0.4;null;18.70256;4.5;1.12918;
United Kingdom of Great Britain and Northern Ireland [Europe];2004;Both sexes;null;2.0;null;6.86957;3.5;0.24738;
Lesotho [Africa];2004;Male;null;28.9;null;44.49992;14.8;3.68256;
Poland [Europe];2004;Both sexes;null;1.4;null;16.89082;3.3;1.13785;
United Arab Emirates [Eastern Mediterranean];2004;Female;null;0.0;null;10.18178;0.1;0.10485;
Azerbaijan [Europe];2004;Both sexes;null;2.9;null;10.68773;23.4;0.97799;
Andorra [Europe];2004;Both sexes;null;0.7;null;;0.9;;
Norway [Europe];2004;Female;null;0.0;null;3.4955;0.0;0.24464;
Cook Islands [Western Pacific];2002;null;Not applicable;0.96;null;;;;
Fiji [Western Pacific];2004;Female;null;0.0;null;7.24524;0.0;0.27019;
Eritrea [Africa];2004;Female;null;0.1;null;16.97977;0.5;2.56739;
Lithuania [Europe];2002;null;Not applicable;9.75;null;;;;
Antigua and Barbuda [Americas];2004;Female;null;0.0;null;0.0;0.0;0.05168;
Slovenia [Europe];2002;null;Not applicable;0.72;null;;;;
Eswatini [Africa];2004;Male;null;40.6;null;49.2178;28.8;5.30182;
Grenada [Americas];2004;Female;null;0.0;null;0.46496;0.0;0.06434;
Republic of Korea [Western Pacific];2002;null;Not applicable;1.74;null;;;;
Venezuela (Bolivarian Republic of) [Americas];2002;null;Not applicable;34.94;null;;;;
Hungary [Europe];2004;Male;null;2.4;null;24.1741;5.9;1.64154;
Mozambique [Africa];2004;Female;null;0.9;null;17.94327;3.9;2.59241;
Switzerland [Europe];2004;Male;null;0.9;null;11.47397;1.7;0.12005;
Togo [Africa];2004;Female;null;0.2;null;19.95188;1.3;1.64933;
Ukraine [Europe];2004;Male;null;15.7;null;34.02573;8.1;13.30353;
Angola [Africa];2004;Female;null;1.0;null;21.9593;4.7;2.36179;
Croatia [Europe];2004;Female;null;0.0;null;5.57956;0.0;0.45173;
Cabo Verde [Africa];2004;Male;null;19.6;null;38.10563;8.2;0.72076;
Austria [Europe];2004;Female;null;0.0;null;5.30284;0.1;0.12454;
Estonia [Europe];2004;Female;null;0.0;null;6.46545;0.0;0.44447;
Croatia [Europe];2004;Male;null;1.9;null;23.69727;2.1;1.42359;
Cabo Verde [Africa];2004;Both sexes;null;12.1;null;23.87111;7.4;0.48642;
Bolivia (Plurinational State of) [Americas];2004;Both sexes;null;4.4;null;15.13941;15.0;0.89238;
Estonia [Europe];2004;Male;null;13.6;null;22.36756;3.4;2.76549;
United Arab Emirates [Eastern Mediterranean];2004;Both sexes;null;0.5;null;20.89182;4.1;0.51876;
Nicaragua [Americas];2004;Both sexes;null;17.6;null;15.86228;9.9;0.38081;
Ecuador [Americas];2004;Female;null;0.3;null;6.4284;0.6;0.42513;
Guinea-Bissau [Africa];2004;Both sexes;null;21.2;null;31.50841;25.9;2.68431;
Haiti [Americas];2004;Male;null;12.0;null;25.5399;16.7;1.67798;
Lithuania [Europe];2004;Female;null;0.1;null;9.87312;0.0;1.93646;
Uganda [Africa];2004;Male;null;55.6;null;49.76067;17.6;4.01856;
Sweden [Europe];2004;Male;null;1.5;null;8.41959;1.1;0.2214;
Dominica [Americas];2004;Male;null;16.2;null;;9.7;;
Seychelles [Africa];2004;Female;null;0.0;null;3.6216;0.0;0.62282;
Sweden [Europe];2004;Both sexes;null;1.3;null;5.57275;0.8;0.21472;
Portugal [Europe];2004;Male;null;2.5;null;30.46115;1.9;0.26882;
United Arab Emirates [Eastern Mediterranean];2002;null;Not applicable;0.86;null;;;;
Uruguay [Americas];2004;Male;null;7.4;null;22.07022;4.1;0.61837;
Azerbaijan [Europe];2002;null;Not applicable;3.0;null;;;;
El Salvador [Americas];2004;Both sexes;null;41.2;null;35.62535;8.4;0.29615;
Armenia [Europe];2004;Male;null;6.0;null;28.36485;14.4;1.5535;
Poland [Europe];2004;Female;null;0.2;null;7.3725;0.3;0.62333;
Australia [Western Pacific];2004;Female;null;0.1;null;4.54947;0.0;0.17045;
Fiji [Western Pacific];2004;Both sexes;null;0.7;null;13.08286;3.5;0.34933;
Denmark [Europe];2004;Male;null;1.2;null;10.11787;2.9;0.33733;
Canada [Americas];2004;Both sexes;null;1.4;null;8.94533;1.7;0.35634;
